player_id,player_name,position,n_matches,hsr_p90_mean,hsr_p90_min,hsr_p90_max,hsr_p90_cv,sprint_p90_mean,sprint_p90_min,sprint_p90_max,sprint_p90_cv
51667,D. Hall,CB,4,300.58628750876613,231.8829865286973,368.4037749552347,0.23908891476005556,150.14835370014052,93.58845306948747,301.75719977585555,0.6745892501300733
33697,N. Pijnaker,CB,4,313.17209636050995,226.983816462769,364.86138441808293,0.2007335272588122,131.61850704880766,77.33185539560588,234.347073890843,0.5625808541977168
957737,D. Leonard,CB,2,535.3328209651681,485.965344992923,584.7002969374133,0.13041635282926103,140.3050707990762,106.03548611985796,174.57465547829443,0.3454223796347834
698137,I. Hughes,CB,2,287.6055971039207,268.6204113897766,306.5907828180648,0.09335391032537205,94.03926996718882,46.84896678078771,141.2295731535899,0.709673382215663
23883,J. Donachie,CB,2,353.4111664622078,348.9543109084222,357.86802201599346,0.017834596548820417,161.00513476599536,126.15272324280181,195.8575462891889,0.306131559898042
51685,L. Jackson,CB,2,346.8879584982776,337.4312586361159,356.34465836043927,0.03855363921612528,138.71144218339407,101.14872544887464,176.27415891791347,0.3829655478262749
9520,S. Souprayen,CB,2,211.85839000607092,206.295204237033,217.42157577510886,0.03713580927500198,33.164930070400686,31.268578222836986,35.06128191796439,0.08086392753318007
42510,S. Wootton,CB,2,198.08085342643517,155.64269948919528,240.51900736367503,0.30299048000826206,54.973658691225154,43.117053750012225,66.83026363243808,0.30501465448650644
23418,F. Gallegos,CM,3,814.4187792900142,622.7286659022651,1076.1931090516143,0.2881999635484831,202.00133281252693,164.16392776984492,249.38397476856164,0.21487218171394792
14736,L. Verstraete,CM,3,587.266292182388,458.1900053865429,662.0406682279767,0.1911416388060144,56.397409941246735,14.255208726496726,112.8572622294295,0.9013956599792889
51045,A. Cáceres,CM,2,731.0607341812531,596.883608022849,865.2378603396571,0.2595613506530013,145.39489645558498,136.88701569392325,153.90277721724672,0.08275366366707838
51015,A. Rufer,CM,2,464.81178163443064,354.43461415190603,575.1889491169553,0.3358281639962418,83.42108391271867,30.78074190484545,136.0614259205919,0.892396527398062
51675,A. Thurgate,CM,2,574.1300386401308,527.6492543273359,620.6108229529257,0.11449279978554742,121.32013245649003,80.99156620670946,161.64869870627058,0.47010503686975275
159688,J. Valadon,CM,2,627.9301785943837,626.6737490121322,629.1866081766353,0.0028297091236550815,104.63159895024367,104.32394940032458,104.93924850016278,0.004158229161349867
11117,Z. Machach,CM,2,526.5071273379115,523.9892808330598,529.0249738427633,0.006763009445168966,168.64183767612167,104.70059294858348,232.5830824036599,0.5362048749869937
133498,F. De Vries,FB,3,544.0638620883028,451.8860071065691,645.9294732563669,0.1789933411582079,216.35655645103668,106.75066919995166,304.35718907900207,0.4647851202091398
4322,H. Sakai,FB,3,528.0292057191722,425.644668590009,671.3969757202088,0.24222040006243006,198.12335962240778,154.9824278133334,263.0548340644813,0.2888939106171823
11891,A. Behich,FB,2,247.21658304586322,241.48805536721164,252.94511072451476,0.032770299774249965,109.52939438445051,81.34166747456133,137.7171212943397,0.3639522149507439
23922,B. Garuccio,FB,2,701.9417333530782,642.4107900560225,761.4726766501341,0.1199379711894299,290.45297231121094,273.4533415179287,307.45260310449316,0.08277108762872547
811820,K. Bos,FB,2,694.9843679661943,631.3194636292668,758.6492723031218,0.12955078604710163,98.46230411180258,88.47887850532024,108.44572971828492,0.1433918901146025
51028,S. Sutton,FB,2,571.2660900472893,422.82370122026305,719.7084788743156,0.3674806594819291,287.34466459663673,141.79667896788393,432.89265022538956,0.7163381145121
51008,T. Imai,FB,2,601.393847025774,557.3401373176438,645.4475567339041,0.10359493042737249,279.54045574891575,180.81846771491925,378.26244378291227,0.4994410344222736
51017,T. Payne,FB,2,577.2285222115506,471.84117173617597,682.6158726869254,0.2581996810792022,373.9252412253684,328.16222259961734,419.68825985111937,0.17307919995875076
38673,G. May,ST,4,670.2439130615752,585.0829476694433,755.3546463182626,0.11671735288810366,158.7139103450661,132.95638976526504,192.5338188069626,0.17598317661506385
50951,J. Brimmer,ST,2,620.9239844036082,479.4623801915198,762.3855886156966,0.32219228803658345,151.20388733509304,83.48496632449707,218.92280834568902,0.6333766823746869
795529,M. Ruhs,ST,2,616.0487854135032,591.4679543664104,640.629616460596,0.0564282333871774,352.7055311377396,341.94274777419145,363.46831450128775,0.04315462293010997
560916,N. Botić,ST,2,721.4039260347179,686.9390622550022,755.8687898144336,0.06756364364486356,287.8520148885341,275.0601287085699,300.64390106849834,0.06284638629694357
29075,N. Vergos,ST,2,459.8530328645519,452.7328848953912,466.97318083371255,0.02189701731739192,188.15098486040608,163.06968043866686,213.23228928214533,0.18852051665606864
133501,L. Rogerson,W,4,923.4188904829432,745.3587218573406,1021.3531864245117,0.13347821408461683,230.79059596843126,152.4069087647749,324.017114860863,0.3451939224691385
11885,D. Arzani,W,2,609.0292817171039,588.7073770777217,629.351186356486,0.047189049881540046,268.74235931120074,195.8126448852929,341.6720737371085,0.38378092499248573
965685,L. Gillion,W,2,744.4353831058722,675.6915011356515,813.1792650760931,0.13059364508824708,197.3797110984288,128.533698685841,266.2257235110166,0.4932774697427509
795527,M. Grimaldi,W,2,841.5479920961775,816.0659567108968,867.0300274814583,0.04282232312024414,295.9679854962146,244.3217642096704,347.6142067827588,0.2467793483349131
50955,N. Velupillay,W,2,612.5392576111913,565.3197772988381,659.7587379235443,0.10901901981983121,278.76792620882804,114.54506303817054,442.99078937948553,0.8331166483396184
26844,R. Danzaki,W,2,724.2382286508916,724.2256238751995,724.2508334265837,2.4613233642195038e-05,287.9432890038992,247.7084859293776,328.1780920784209,0.19761045442051853
