match_id,date,home_team,away_team,player_id,player_name,team,opponent,position,position_group,role,minutes_played,total_distance_m,hsr_distance_m,sprint_distance_m,speed_p99_kmh,total_distance_m_p90,hsr_distance_m_p90,sprint_distance_m_p90
1886347,2024-11-30,Auckland FC,Newcastle,38673,G. May,Auckland FC,Newcastle,ST,Center Forward,Center Forward,86.65,7853.303089548029,687.6338858327323,133.69185795569055,23.34736188512708,8156.921847193566,714.2186927287466,138.86055644561048
1886347,2024-11-30,Auckland FC,Newcastle,51713,C. Elliott,Auckland FC,Newcastle,FB,Full Back,Right Back,98.4,9201.883328640346,653.7527551839191,157.02983236557316,23.26309476728911,8416.356703024707,597.9445931560235,143.6248466758291
1886347,2024-11-30,Auckland FC,Newcastle,50951,J. Brimmer,Auckland FC,Newcastle,ST,Center Forward,Center Forward,77.91,8058.835708259503,659.9717912116546,189.5141777579181,24.067583096227647,9309.39819976069,762.3855886156966,218.92280834568902
1886347,2024-11-30,Auckland FC,Newcastle,50978,C. Timmins,Newcastle,Auckland FC,CM,Midfield,Left Defensive Midfield,86.26,9994.359827397215,549.7902970428115,115.87493454578818,22.523375943868583,10427.68820386911,573.6277154399842,120.8989579077317
1886347,2024-11-30,Auckland FC,Newcastle,133498,F. De Vries,Auckland FC,Newcastle,FB,Full Back,Left Back,98.4,9391.673649078628,706.2162240936278,116.71406499194715,22.98483487847861,8589.945410742646,645.9294732563669,106.75066919995166
1886347,2024-11-30,Auckland FC,Newcastle,33697,N. Pijnaker,Auckland FC,Newcastle,CB,Central Defender,Left Center Back,98.4,7992.577524271706,248.1689726659608,84.85040014489896,20.727928456666007,7310.284320980219,226.983816462769,77.60707330326123
1886347,2024-11-30,Auckland FC,Newcastle,51667,D. Hall,Auckland FC,Newcastle,CB,Central Defender,Right Center Back,98.4,8090.9379646077405,253.52539860470907,105.4338535412854,20.874467675990765,7400.248138360737,231.8829865286973,96.43340262922445
1886347,2024-11-30,Auckland FC,Newcastle,14736,L. Verstraete,Auckland FC,Newcastle,CM,Midfield,Defensive Midfield,98.4,10751.930316504155,701.4479018730248,46.00720302880995,22.642667310755645,9834.082606558677,641.5682029326446,42.07975886781397
1886347,2024-11-30,Auckland FC,Newcastle,735573,T. Aquilina,Newcastle,Auckland FC,W,Wide Attacker,Left Winger,98.4,10240.044783297102,932.2023250646259,207.29250182260563,24.03287436348346,9365.8946188693,852.6240778030115,189.59680044750513
1886347,2024-11-30,Auckland FC,Newcastle,176224,P. Cancar,Newcastle,Auckland FC,CB,Central Defender,Right Center Back,98.4,8237.659753542117,320.65875660084436,161.854430435207,22.154977799547478,7534.444896532424,293.28544811052836,148.03758881268934
1886347,2024-11-30,Auckland FC,Newcastle,735578,M. Natta,Newcastle,Auckland FC,FB,Full Back,Left Back,98.4,8924.221529350563,466.6384900969683,160.57839895911195,22.994731245460713,8162.397740259661,426.80349703991004,146.87048685284628
1886347,2024-11-30,Auckland FC,Newcastle,735574,K. Grozos,Newcastle,Auckland FC,CM,Midfield,Right Defensive Midfield,98.4,9969.890581301657,374.7842285103444,102.19134627859022,21.785875048885053,9118.802360946636,342.7904529058028,93.46769476700324
1886347,2024-11-30,Auckland FC,Newcastle,50983,D. Ingham,Newcastle,Auckland FC,FB,Full Back,Right Back,98.4,9038.236219176528,531.798250314751,189.497351045244,23.523239041504567,8266.679468759019,486.4008387025162,173.32074790723533
1886347,2024-11-30,Auckland FC,Newcastle,51649,A. Šušnjar,Newcastle,Auckland FC,CB,Central Defender,Left Center Back,98.4,8373.570828363332,299.7356235886537,84.86975932009857,21.31537273010255,7658.753806429876,274.14843620913445,77.62477986594381
1886347,2024-11-30,Auckland FC,Newcastle,965685,L. Gillion,Auckland FC,Newcastle,W,Wide Attacker,Left Winger,98.4,10240.034694105318,738.7560412416457,291.0734577053782,24.52595124317983,9365.885390949985,675.6915011356515,266.2257235110166
1886347,2024-11-30,Auckland FC,Newcastle,133501,L. Rogerson,Auckland FC,Newcastle,W,Wide Attacker,Right Winger,71.18,8059.743264714171,780.2980077312043,120.53693073196308,23.426866248446114,10190.740289748179,986.6088886739026,152.4069087647749
1886347,2024-11-30,Auckland FC,Newcastle,23418,F. Gallegos,Auckland FC,Newcastle,CM,Midfield,Attacking Midfield,98.4,11296.968994128505,1176.637799229765,179.48589436169712,24.007488710641688,10332.593592190706,1076.1931090516143,164.16392776984492
1886347,2024-11-30,Auckland FC,Newcastle,795507,L. Bayliss,Newcastle,Auckland FC,CM,Midfield,Attacking Midfield,61.55,7499.913642332028,449.5438686958491,103.00395864092789,23.26597081487155,10966.567470509872,657.334657719357,150.6150491906338
