position,n_performances,n_players,n_matches,total_distance_p10,total_distance_p25,total_distance_p50,total_distance_p75,total_distance_p90,total_distance_cv,hsr_p10,hsr_p25,hsr_p50,hsr_p75,hsr_p90,hsr_cv,sprint_p10,sprint_p25,sprint_p50,sprint_p75,sprint_p90,sprint_cv,speed_p99_p10,speed_p99_p25,speed_p99_p50,speed_p99_p75,speed_p99_p90,speed_p99_cv
CB,43,31,10,6593.688182373072,7194.356819138004,7721.3287816186785,8226.314893327784,8625.588842619884,0.09318033280163183,200.6013216585761,239.81231722582248,306.33417014529056,361.3647032170382,483.5159039289142,0.34722645759050724,32.02711896186247,45.372541986709265,96.43340262922445,142.20172665743127,178.42424264765276,0.6324254294332906,19.893623836710326,20.70232596861605,21.966050337890845,22.585824000288945,23.151359358967497,0.06728560346575779
CM,44,35,10,8130.436879123581,8893.237276955264,9346.36123642663,9834.529077160747,10280.182964802454,0.08598461666335218,367.70887845939495,461.5227605444013,545.9005469313835,623.7149366797319,687.0965974093158,0.26523504992195257,31.22777247936055,53.31263831027016,104.51227117445403,159.93998059980495,219.90527733443,0.6520637166280572,21.264401266480565,21.84653644188253,22.52485939664053,23.507210245064417,24.025533431590024,0.05059693538801169
FB,38,28,10,7478.416311706918,7707.162544111361,8315.655009294,8679.872122537912,8940.441679435055,0.07757808104556584,317.55618433176136,433.0741245565748,545.8581216098082,645.8089941257513,759.4962936072255,0.30077818602290796,82.19375191099088,127.2847367904516,174.82678244832195,301.52082802262487,383.2824764392131,0.5543088476611951,21.757442860954857,22.51217255996493,23.458570874182712,25.065959730720536,25.7975299589185,0.0691732819350186
ST,29,22,10,7560.047443505555,8081.282715617679,8441.866905570838,9076.100247935572,9585.027759603765,0.09974843118582032,353.7388620517935,452.7328848953912,589.712489399225,640.629616460596,755.4574750174968,0.26040748480678183,69.08442970750741,105.72084942761231,163.06968043866686,213.23228928214533,346.2478611196107,0.6203138591125826,21.79484138363844,22.312502864807115,23.284699998273574,24.067583096227647,24.773261922167922,0.060948400662238396
W,33,25,10,7794.450634860965,8284.937956164811,9087.675530140355,9365.8946188693,9934.639716628435,0.09089645898949134,503.76692937281234,572.7400686151622,661.534794112025,756.9707597687891,887.2839284388248,0.2129732493156305,115.98937019324737,152.4069087647749,192.8109573796203,304.65217835618745,356.05543487705825,0.43611871820633163,23.030205199949823,23.426866248446114,24.009039184844546,24.969942656550415,25.683528012840856,0.042594704815918344
