position,n_player_matches,n_players,n_repeated_players,n_matches,hsr_p10,hsr_p25,hsr_p50,hsr_p75,hsr_p90,sprint_p10,sprint_p25,sprint_p50,sprint_p75,sprint_p90,speed_p99_p10,speed_p99_p25,speed_p99_p50,speed_p99_p75,speed_p99_p90,hsr_within_player_cv_median_pct,sprint_within_player_cv_median_pct
CB,84,41,22,20,174.32,228.35,295.65,364.08,441.87,31.16,42.22,80.70,124.80,176.38,19.53,20.48,21.42,22.29,23.13,21.33,49.99
CM,89,49,22,20,340.02,376.30,465.20,605.60,658.82,28.18,52.20,101.60,143.40,176.62,21.07,21.64,22.28,23.13,23.71,20.98,37.98
FB,78,44,19,20,340.93,443.70,501.65,588.03,687.97,87.01,123.03,170.30,252.00,324.42,21.88,22.55,23.45,24.36,25.35,18.75,33.17
ST,59,36,13,20,333.04,411.75,528.50,610.25,705.84,60.84,83.30,139.10,212.15,305.46,21.47,22.21,23.00,23.85,24.52,22.84,31.49
W,67,42,14,20,434.88,535.85,644.40,738.35,846.10,117.04,145.45,192.40,245.55,338.16,22.54,23.34,23.86,24.34,25.44,12.98,28.61
